"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","101530","Stage 2: Reverse receipt, verify GL offsets","Sales","2026-04-14","passed","2026-04-14","Receipt Reversal — GL Ledger Impact @regression","sales/sales-receipt-reversal.spec.ts","",""
"","8777","State Violation: Block Billing a DRAFT PO","Purchases","2026-04-14","passed","2026-04-14","Purchase Negative API Tests @negative","purchase/purchase-negative-api.spec.ts","",""
"","28478","Stage 2: Reverse invoice, verify stock restoration @regression","Sales","2026-04-14","passed","2026-04-14","Invoice Reversal Flow @regression","sales/sales-invoice-reversal.spec.ts","",""
"","172987","Create SO + Invoice via API, approve both, verify stock decrease","Sales","2026-04-14","passed","2026-04-14","Sales Impact Flow @regression","sales/sales-inventory-impact.spec.ts","",""
"","7234","Block PO: Negative Quantity","Purchases","2026-04-14","passed","2026-04-14","Purchase Negative API Tests @negative","purchase/purchase-negative-api.spec.ts","",""
"","9422","Boundary: Block Negative Quantity","Sales","2026-04-14","passed","2026-04-14","Sales Order Negative API Tests @negative","sales/sales-negative-api.spec.ts","",""
"","9645","Boundary: Block Extreme Financial Inputs","Sales","2026-04-14","passed","2026-04-14","Sales Order Negative API Tests @negative","sales/sales-negative-api.spec.ts","",""
"","7386","Block Bill: Empty Items List","Purchases","2026-04-14","passed","2026-04-14","Purchase Negative API Tests @negative","purchase/purchase-negative-api.spec.ts","",""
"","7957","Block Receipt: Missing Cash Account","Sales","2026-04-14","passed","2026-04-14","Sales Order Negative API Tests @negative","sales/sales-negative-api.spec.ts","",""
"","97489","Stage 1: Setup via API (SO & Invoice), verify stock deduction @smoke","Sales","2026-04-14","passed","2026-04-14","Invoice Reversal Flow @regression","sales/sales-invoice-reversal.spec.ts","",""
"","176348","Create Bill via API, Approve via UI, Pay via API then Verify","Purchases","2026-04-14","passed","2026-04-14","Bill-to-Payment API Flow @regression","purchase/purchase-bill-payment-api.spec.ts","",""
"","218417","Verify duplicate invoice creation allowed, duplicate receipt blocked","Sales","2026-04-14","passed","2026-04-14","Accounting Logic Flow @regression","sales/accounting-logic.spec.ts","",""
"","132146","Verify partial receipt correctly updates invoice amount due","Sales","2026-04-14","passed","2026-04-14","Invoice-Receipt Balance Flow @regression","sales/invoice-receipt-balance.spec.ts","",""
"","7896","Block Creation: Missing Customer ID","Sales","2026-04-14","passed","2026-04-14","Sales Order Negative API Tests @negative","sales/sales-negative-api.spec.ts","",""
"","57106","Stage 1: Create and approve receipt, capture GL entries","Sales","2026-04-14","passed","2026-04-14","Receipt Reversal — GL Ledger Impact @regression","sales/sales-receipt-reversal.spec.ts","",""
"","8924","Integrity: Block Non-Existent Customer UUID","Sales","2026-04-14","passed","2026-04-14","Sales Order Negative API Tests @negative","sales/sales-negative-api.spec.ts","",""
"","184897","Create PO via API, convert to Bill, verify stock addition","Purchases","2026-04-14","passed","2026-04-14","Purchase Impact Flow @regression","purchase/purchase-inventory-impact.spec.ts","",""
"","7815","Block Invoice: Missing Released Items","Sales","2026-04-14","passed","2026-04-14","Sales Order Negative API Tests @negative","sales/sales-negative-api.spec.ts","",""
"","7912","Security: Block Unauthorized Access","Sales","2026-04-14","passed","2026-04-14","Sales Order Negative API Tests @negative","sales/sales-negative-api.spec.ts","",""
"","94759","Stage 2: Reverse bill, verify stock restoration","Purchases","2026-04-14","passed","2026-04-14","Bill Impact Flow @regression","purchase/bill-impact.spec.ts","",""
